"state_abb","state_name","year","median","lower","upper","sd"
"AK","Alaska",1959,0.41697697,0.200879471,0.663924828,0.138630977
"AK","Alaska",1960,0.33288423,0.123839586,0.5501334,0.128432515
"AK","Alaska",1961,0.33235612,0.12548214,0.54859951,0.128696717
"AK","Alaska",1962,0.155741645,-0.0489524,0.357303322,0.124175179
"AK","Alaska",1963,0.023755095,-0.188419787,0.231960077,0.127340231
"AK","Alaska",1964,-0.072769157,-0.294026378,0.142422583,0.133289321
"AK","Alaska",1965,0.12930176,-0.095714609,0.360894005,0.139317265
"AK","Alaska",1966,0.21954629,0.004181242,0.43452048,0.13497414
"AK","Alaska",1967,0.13860675,-0.077857676,0.373849815,0.138115725
"AK","Alaska",1968,0.044557464,-0.18498079,0.274118925,0.139077205
"AK","Alaska",1969,-0.011750936,-0.247507476,0.223635068,0.144874271
"AK","Alaska",1970,-0.153556845,-0.386236022,0.070428104,0.137772087
"AK","Alaska",1971,-0.192996225,-0.408849885,0.040123027,0.138718219
"AK","Alaska",1972,-0.32318124,-0.547505467,-0.115371491,0.135978941
"AK","Alaska",1973,-0.255506635,-0.469181383,-0.024378975,0.134556392
"AK","Alaska",1974,-0.21508018,-0.450489095,0.01305551,0.139367588
"AK","Alaska",1975,-0.227316015,-0.458631374,0.000695,0.142876999
"AK","Alaska",1976,-0.316685165,-0.536867522,-0.07368365,0.140773046
"AK","Alaska",1977,-0.377469565,-0.592089635,-0.154565475,0.133489161
"AK","Alaska",1978,-0.35602155,-0.583342396,-0.116062762,0.141566879
"AK","Alaska",1979,-0.35303749,-0.59153157,-0.132807418,0.142139628
"AK","Alaska",1980,-0.41299598,-0.633562061,-0.194046691,0.133013206
"AK","Alaska",1981,-0.42601538,-0.644338329,-0.204228695,0.133319902
"AK","Alaska",1982,-0.561392325,-0.767371739,-0.343915444,0.12973675
"AK","Alaska",1983,-0.616044755,-0.816159947,-0.418210995,0.120515712
"AK","Alaska",1984,-0.71927617,-0.932446671,-0.513918725,0.127001141
"AK","Alaska",1985,-0.69792001,-0.909227371,-0.489184575,0.126221802
"AK","Alaska",1986,-0.80800568,-1.017587995,-0.586037583,0.128054355
"AK","Alaska",1987,-0.834812765,-1.03696318,-0.625139243,0.124645683
"AK","Alaska",1988,-0.668836705,-0.885285012,-0.445049702,0.132220747
"AK","Alaska",1989,-0.69160772,-0.902597998,-0.486032087,0.128030169
"AK","Alaska",1990,-0.72942748,-0.916757038,-0.53737641,0.117263281
"AK","Alaska",1991,-0.81793071,-1.034586475,-0.595178401,0.132029171
"AK","Alaska",1992,-0.91136727,-1.128916455,-0.69636883,0.131364165
"AK","Alaska",1993,-0.8982081,-1.12413441,-0.684497816,0.131322438
"AK","Alaska",1994,-0.951089345,-1.157331735,-0.733638322,0.129343553
"AK","Alaska",1995,-0.94462853,-1.15074305,-0.731317787,0.130644275
"AK","Alaska",1996,-0.976027525,-1.179960295,-0.76833203,0.125801485
"AK","Alaska",1997,-0.991808185,-1.19460348,-0.795481662,0.121645486
"AK","Alaska",1998,-0.933988355,-1.126295275,-0.741312467,0.116623262
"AK","Alaska",1999,-0.999206645,-1.18658056,-0.811533935,0.113788345
"AK","Alaska",2000,-0.951068595,-1.14098526,-0.769533393,0.112476967
"AK","Alaska",2001,-0.988688855,-1.171719765,-0.798415358,0.111612945
"AK","Alaska",2002,-0.980418485,-1.16167214,-0.802169036,0.112716849
"AK","Alaska",2003,-0.969362155,-1.154071065,-0.766230336,0.118453325
"AK","Alaska",2004,-1.02728565,-1.21851199,-0.819433664,0.121210258
"AK","Alaska",2005,-1.01826855,-1.203023285,-0.827468477,0.114733801
"AK","Alaska",2006,-1.00097905,-1.18834668,-0.807479821,0.113894249
"AK","Alaska",2007,-0.960149205,-1.143022755,-0.757297515,0.119061663
"AK","Alaska",2008,-0.98083935,-1.17304089,-0.786109002,0.11900643
"AK","Alaska",2009,-0.9871106,-1.17272549,-0.803022926,0.113364741
"AK","Alaska",2010,-1.04500575,-1.21328551,-0.844193463,0.11238473
"AK","Alaska",2011,-1.00456375,-1.194112415,-0.806310541,0.117299421
"AK","Alaska",2012,-1.00016145,-1.17916171,-0.804608841,0.109901676
"AK","Alaska",2013,-1.03219005,-1.21723588,-0.83640185,0.116915571
"AK","Alaska",2014,-1.0530824,-1.235333405,-0.84890138,0.11635394
"AK","Alaska",2015,-1.1024669,-1.27787686,-0.913477523,0.112049924
"AK","Alaska",2016,-1.1144652,-1.313568355,-0.912922532,0.11809735
"AK","Alaska",2017,-1.11683915,-1.302442225,-0.916630599,0.117977156
"AK","Alaska",2018,-1.15182565,-1.338332895,-0.96646631,0.112017082
"AK","Alaska",2019,-1.1406682,-1.32408808,-0.939989162,0.115354688
"AK","Alaska",2020,-1.1405447,-1.32749015,-0.941619596,0.116946183
"AK","Alaska",2021,-1.31002295,-1.48651099,-1.11904996,0.112102417
"AK","Alaska",2022,-1.15594325,-1.355918655,-0.955208773,0.123322747
"AK","Alaska",2023,-1.1484767,-1.35420073,-0.951278515,0.122993567
"AK","Alaska",2024,-1.16588045,-1.37580294,-0.94121919,0.133014034
"AL","Alabama",1937,1.9106551,1.4625337,2.386702305,0.281295387
"AL","Alabama",1938,1.9035945,1.46409843,2.33724439,0.261840615
"AL","Alabama",1939,1.8359728,1.42586209,2.284457095,0.262930691
"AL","Alabama",1940,1.8098465,1.396805075,2.23268278,0.253039135
"AL","Alabama",1941,1.8918814,1.417355915,2.36366466,0.283202711
"AL","Alabama",1942,1.82953975,1.43255245,2.244633115,0.24632146
"AL","Alabama",1943,1.77234325,1.32874416,2.23107641,0.270958587
"AL","Alabama",1944,1.6328066,1.26067237,2.01940868,0.231367228
"AL","Alabama",1945,1.5099488,1.153972295,1.875167985,0.215632793
"AL","Alabama",1946,1.46182055,1.118612955,1.82777998,0.21419055
"AL","Alabama",1947,1.48232295,1.158773695,1.817719805,0.201348086
"AL","Alabama",1948,1.4692021,1.118947305,1.82095318,0.213902015
"AL","Alabama",1949,1.50181785,1.161014135,1.8628883,0.211105892
"AL","Alabama",1950,1.66198885,1.330543635,2.032727295,0.212383518
"AL","Alabama",1951,1.6480633,1.30333579,1.992379895,0.211530455
"AL","Alabama",1952,1.46490225,1.13560694,1.836474995,0.210196111
"AL","Alabama",1953,1.45227125,1.12305215,1.799604905,0.20880488
